Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2
19710101	0.401	-9999.000	0.0	-13.0	0.00	0.00	10.0	1.00	371.4	0.0	0.0	7.5	0.000	0.000	0.401
19710102	0.381	-9999.000	0.0	-14.0	0.00	0.00	10.0	1.00	371.4	0.0	0.0	7.1	0.000	0.000	0.381
19710103	0.362	-9999.000	0.0	-13.0	0.00	0.00	10.0	1.00	371.4	0.0	0.0	6.7	0.000	0.000	0.362
19710104	0.344	-9999.000	0.0	-11.0	0.00	0.00	10.0	1.00	371.4	0.0	0.0	6.4	0.000	0.000	0.344
19710105	0.327	-9999.000	0.0	-11.0	0.00	0.00	10.0	1.00	371.4	0.0	0.0	6.1	0.000	0.000	0.327
19710106	0.311	-9999.000	0.0	-8.4	0.00	0.00	10.0	1.00	371.4	0.0	0.0	5.8	0.000	0.000	0.311
19710107	0.296	-9999.000	0.0	-3.7	0.00	0.12	10.0	1.00	371.4	0.0	0.0	5.5	0.000	0.000	0.296
19710108	0.285	-9999.000	0.0	0.0	0.00	0.23	9.4	1.00	371.8	0.2	0.0	5.4	0.000	0.000	0.285
19710109	0.305	-9999.000	0.0	1.8	0.00	0.28	6.6	0.78	373.3	1.4	0.0	6.5	0.000	0.000	0.305
19710110	0.334	-9999.000	0.0	0.1	0.04	0.23	6.2	0.58	373.4	0.2	0.0	6.4	0.000	0.000	0.334
19710111	0.333	-9999.000	0.0	0.8	0.09	0.26	5.6	0.46	373.5	0.4	0.0	6.4	0.000	0.000	0.333
19710112	0.329	-9999.000	0.0	-0.1	0.11	0.23	5.6	0.38	373.4	0.0	0.0	6.1	0.000	0.000	0.329
19710113	0.314	-9999.000	0.0	-1.8	0.10	0.18	5.6	0.38	373.3	0.0	0.0	5.8	0.000	0.000	0.314
19710114	0.299	-9999.000	0.0	-1.0	0.12	0.21	5.6	0.38	373.1	0.0	0.0	5.6	0.000	0.000	0.299
19710115	0.284	-9999.000	0.0	-1.3	0.11	0.20	5.6	0.38	373.0	0.0	0.0	5.3	0.000	0.000	0.284
19710116	0.270	-9999.000	0.0	-2.2	0.10	0.17	5.6	0.38	372.9	0.0	0.0	5.0	0.000	0.000	0.270
19710117	0.257	-9999.000	0.0	-2.6	0.09	0.16	5.6	0.38	372.8	0.0	0.0	4.8	0.000	0.000	0.257
19710118	0.244	-9999.000	0.0	-1.1	0.12	0.21	5.6	0.38	372.7	0.0	0.0	4.5	0.000	0.000	0.244
19710119	0.320	-9999.000	11.0	-0.4	0.14	0.24	10.6	0.38	375.3	2.3	0.5	5.9	0.000	0.057	0.263
19710120	0.420	-9999.000	4.9	-0.3	0.14	0.25	12.6	0.38	376.4	1.2	0.0	7.2	0.000	0.089	0.330
19710121	0.373	-9999.000	2.1	-1.4	0.13	0.22	14.3	0.93	376.4	0.0	0.0	6.9	0.000	0.008	0.365
19710122	0.356	-9999.000	0.2	-0.3	0.01	0.26	13.9	0.78	376.7	0.3	0.0	6.8	0.000	0.000	0.356
19710123	0.347	-9999.000	11.0	-1.3	0.04	0.24	22.7	0.93	376.9	0.1	0.0	6.5	0.000	0.000	0.347
19710124	0.358	-9999.000	0.0	2.2	0.02	0.36	20.0	0.93	378.3	1.3	0.0	7.5	0.000	0.000	0.358
19710125	0.395	-9999.000	0.1	1.0	0.02	0.33	18.6	0.58	378.9	0.8	0.0	7.9	0.000	0.000	0.395
19710126	0.819	-9999.000	8.0	1.8	0.14	0.37	17.7	0.46	381.8	5.9	3.2	9.0	0.000	0.387	0.432
19710127	1.994	-9999.000	12.0	1.3	0.18	0.35	17.2	0.38	385.6	8.3	7.5	10.2	0.000	1.503	0.492
19710128	2.591	-9999.000	2.5	0.0	0.18	0.31	18.0	0.38	386.1	0.9	5.1	11.3	0.000	2.042	0.549
19710129	1.940	-9999.000	0.0	-0.9	0.16	0.28	18.0	0.38	385.9	0.0	2.6	12.3	0.000	1.336	0.605
19710130	1.298	-9999.000	0.0	0.8	0.21	0.36	17.8	0.38	385.8	0.2	0.9	13.3	0.000	0.641	0.657
19710131	0.888	-9999.000	0.0	1.0	0.22	0.37	17.3	0.38	385.7	0.4	0.0	13.8	0.000	0.189	0.699
19710201	0.714	-9999.000	2.9	-1.1	0.17	0.29	19.4	0.78	385.7	0.1	0.0	13.2	0.000	0.008	0.705
19710202	0.676	-9999.000	0.0	-7.4	0.00	0.02	19.4	0.78	385.7	0.0	0.0	12.6	0.000	0.000	0.676
19710203	0.643	-9999.000	4.2	-6.0	0.02	0.09	22.9	1.00	385.7	0.0	0.0	11.9	0.000	0.000	0.643
19710204	0.613	-9999.000	0.0	-0.5	0.00	0.33	22.6	1.00	385.9	0.1	0.0	11.5	0.000	0.000	0.613
19710205	0.588	-9999.000	0.0	-0.8	0.00	0.33	22.4	0.93	386.0	0.1	0.0	11.0	0.000	0.000	0.588
