Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2
19710101	0.358	-9999.000	0.0	-12.0	0.00	0.00	18.2	1.00	101.7	0.0	0.0	4.5	0.000	0.000	0.358
19710102	0.332	-9999.000	0.0	-15.0	0.00	0.00	18.2	1.00	101.7	0.0	0.0	4.2	0.000	0.000	0.332
19710103	0.309	-9999.000	0.0	-14.0	0.00	0.00	18.2	1.00	101.7	0.0	0.0	3.9	0.000	0.000	0.309
19710104	0.287	-9999.000	0.0	-11.0	0.00	0.00	18.2	1.00	101.7	0.0	0.0	3.6	0.000	0.000	0.287
19710105	0.266	-9999.000	0.0	-13.0	0.00	0.00	18.2	1.00	101.7	0.0	0.0	3.3	0.000	0.000	0.266
19710106	0.247	-9999.000	0.0	-9.3	0.00	0.00	18.2	1.00	101.7	0.0	0.0	3.1	0.000	0.000	0.247
19710107	0.230	-9999.000	0.0	-3.3	0.00	0.13	18.2	1.00	101.7	0.0	0.0	2.9	0.000	0.000	0.230
19710108	0.397	-9999.000	0.0	1.6	0.00	0.28	15.6	1.00	102.1	2.3	0.8	3.8	0.000	0.141	0.256
19710109	1.900	-9999.000	0.0	5.0	0.00	0.37	3.3	0.71	103.2	11.2	7.8	4.7	0.000	1.575	0.325
19710110	3.001	-9999.000	0.0	1.1	0.08	0.26	1.6	0.17	103.3	1.6	5.9	5.5	0.000	2.611	0.390
19710111	2.251	-9999.000	0.0	1.1	0.22	0.26	1.4	0.17	103.0	0.2	3.5	6.3	0.000	1.801	0.451
19710112	1.588	-9999.000	0.0	2.2	0.24	0.29	0.6	0.17	102.8	0.7	2.1	7.0	0.000	1.082	0.506
19710113	1.100	-9999.000	0.0	-1.8	0.15	0.18	0.6	0.17	102.7	0.0	0.6	7.6	0.000	0.541	0.558
19710114	0.737	-9999.000	0.0	3.8	0.28	0.34	0.0	0.00	102.4	0.6	0.0	8.2	0.000	0.130	0.607
19710115	0.611	-9999.000	0.0	0.1	0.23	0.23	0.0	0.00	102.2	0.0	0.0	7.6	0.000	0.001	0.609
19710116	0.566	-9999.000	0.0	-1.4	0.19	0.19	0.0	0.00	102.0	0.0	0.0	7.1	0.000	0.000	0.566
19710117	0.526	-9999.000	0.0	-2.5	0.17	0.17	0.0	0.00	101.9	0.0	0.0	6.6	0.000	0.000	0.526
19710118	0.489	-9999.000	0.0	2.2	0.31	0.31	0.0	0.00	101.5	0.0	0.0	6.1	0.000	0.000	0.489
19710119	1.873	-9999.000	13.0	1.5	0.30	0.30	0.0	0.00	102.6	11.6	7.5	6.8	0.000	1.377	0.496
19710120	2.999	-9999.000	4.1	0.0	0.26	0.26	3.2	0.71	102.5	1.0	5.3	7.5	0.000	2.450	0.549
19710121	2.172	-9999.000	1.5	-1.8	0.06	0.21	4.8	1.00	102.4	0.0	2.9	8.1	0.000	1.574	0.598
19710122	1.477	-9999.000	0.0	-0.1	0.00	0.27	4.5	1.00	102.4	0.3	1.4	8.7	0.000	0.834	0.643
19710123	0.987	-9999.000	11.0	-1.6	0.00	0.22	16.4	1.00	102.4	0.0	0.1	9.2	0.000	0.301	0.685
19710124	1.137	-9999.000	0.0	2.2	0.00	0.36	11.9	1.00	102.9	4.0	2.1	9.7	0.000	0.412	0.725
19710125	1.328	-9999.000	0.0	-0.2	0.00	0.28	11.7	1.00	102.9	0.2	0.8	10.2	0.000	0.567	0.761
19710126	2.082	-9999.000	5.3	1.9	0.00	0.37	7.3	0.71	103.6	8.9	6.2	10.6	0.000	1.288	0.795
19710127	4.586	-9999.000	12.0	1.8	0.11	0.37	4.2	0.71	104.3	14.2	13.9	11.0	0.000	3.759	0.826
19710128	5.335	-9999.000	1.7	0.0	0.09	0.31	5.5	0.71	104.3	0.4	9.5	11.3	0.000	4.479	0.856
19710129	3.848	-9999.000	0.0	-0.6	0.09	0.29	5.5	0.71	104.2	0.0	6.0	11.7	0.000	2.966	0.883
19710130	2.800	-9999.000	0.0	0.7	0.10	0.35	4.9	0.71	104.1	0.6	3.9	12.0	0.000	1.892	0.908
19710131	2.053	-9999.000	0.0	-0.7	0.09	0.30	4.9	0.71	104.0	0.0	1.9	12.3	0.000	1.122	0.931
19710201	1.424	-9999.000	9.7	-1.6	0.08	0.27	15.3	1.00	104.0	0.0	0.5	12.6	0.000	0.471	0.953
19710202	1.046	-9999.000	3.4	-7.5	0.00	0.02	19.0	1.00	104.0	0.0	0.0	12.1	0.000	0.098	0.948
19710203	0.899	-9999.000	13.0	-6.4	0.00	0.07	32.9	1.00	104.0	0.0	0.0	11.3	0.000	0.000	0.899
19710204	0.835	-9999.000	0.5	0.0	0.00	0.35	33.5	1.00	104.0	0.0	0.0	10.5	0.000	0.000	0.835
19710205	0.775	-9999.000	0.0	-2.7	0.00	0.23	33.5	1.00	104.0	0.0	0.0	9.7	0.000	0.000	0.775
19710206	0.751	-9999.000	0.0	1.1	0.00	0.41	32.5	1.00	104.1	0.9	0.0	9.9	0.000	0.000	0.751
19710207	0.731	-9999.000	0.0	-0.8	0.00	0.33	32.5	1.00	104.1	0.0	0.0	9.2	0.000	0.000	0.731
19710208	0.679	-9999.000	0.0	-3.0	0.00	0.23	32.5	1.00	104.1	0.0	0.0	8.5	0.000	0.000	0.679
19710209	0.631	-9999.000	0.0	-2.3	0.00	0.27	32.5	1.00	104.1	0.0	0.0	7.9	0.000	0.000	0.631
19710210	0.586	-9999.000	0.0	-0.5	0.00	0.36	32.5	1.00	104.1	0.0	0.0	7.3	0.000	0.000	0.586
19710211	0.568	-9999.000	0.0	0.6	0.00	0.42	31.7	1.00	104.1	0.7	0.0	7.5	0.000	0.000	0.568
19710212	0.837	-9999.000	0.0	1.3	0.00	0.47	28.4	1.00	104.3	3.1	1.3	8.1	0.000	0.241	0.595
19710213	1.489	-9999.000	2.3	1.0	0.00	0.46	26.2	1.00	104.6	4.3	3.2	8.7	0.000	0.848	0.641
19710214	1.634	-9999.000	0.9	-0.3	0.00	0.40	26.7	1.00	104.6	0.4	1.7	9.2	0.000	0.951	0.683
19710215	1.131	-9999.000	4.0	-1.8	0.00	0.32	31.0	1.00	104.6	0.0	0.4	9.7	0.000	0.408	0.723
19710216	0.800	-9999.000	6.7	-2.5	0.00	0.29	38.2	1.00	104.6	0.0	0.0	9.3	0.000	0.071	0.729
19710217	0.691	-9999.000	4.3	-2.5	0.00	0.30	42.8	1.00	104.6	0.0	0.0	8.7	0.000	0.000	0.690
19710218	0.816	-9999.000	11.0	-0.4	0.00	0.44	52.0	1.00	104.7	2.2	0.7	9.2	0.000	0.133	0.684
19710219	0.850	-9999.000	7.9	-1.0	0.00	0.42	60.5	1.00	104.7	0.0	0.0	9.2	0.000	0.144	0.706
19710220	0.683	-9999.000	0.1	-2.1	0.00	0.36	60.6	1.00	104.7	0.0	0.0	8.6	0.000	0.000	0.683
19710221	0.634	-9999.000	3.3	-1.8	0.00	0.39	64.2	1.00	104.7	0.0	0.0	8.0	0.000	0.000	0.634
19710222	0.589	-9999.000	10.0	-1.7	0.00	0.40	74.9	1.00	104.7	0.0	0.0	7.4	0.000	0.000	0.589
19710223	0.547	-9999.000	4.9	-3.3	0.00	0.29	80.2	1.00	104.7	0.0	0.0	6.9	0.000	0.000	0.547
19710224	0.508	-9999.000	0.0	-5.8	0.00	0.08	80.2	1.00	104.7	0.0	0.0	6.4	0.000	0.000	0.508
19710225	0.472	-9999.000	0.1	-2.2	0.00	0.39	80.3	1.00	104.7	0.0	0.0	5.9	0.000	0.000	0.472
19710226	0.438	-9999.000	2.0	-1.4	0.00	0.46	82.5	1.00	104.7	0.0	0.0	5.5	0.000	0.000	0.438
19710227	0.407	-9999.000	1.1	-3.0	0.00	0.32	83.6	1.00	104.7	0.0	0.0	5.1	0.000	0.000	0.407
19710228	0.378	-9999.000	0.2	-8.4	0.00	0.00	83.9	1.00	104.7	0.0	0.0	4.7	0.000	0.000	0.378
19710301	0.351	-9999.000	1.3	-8.8	0.00	0.00	85.3	1.00	104.7	0.0	0.0	4.4	0.000	0.000	0.351
19710302	0.326	-9999.000	5.0	-9.7	0.00	0.00	90.7	1.00	104.7	0.0	0.0	4.1	0.000	0.000	0.326
19710303	0.303	-9999.000	4.3	-5.8	0.00	0.03	95.3	1.00	104.7	0.0	0.0	3.8	0.000	0.000	0.303
19710304	0.281	-9999.000	1.1	-12.0	0.00	0.00	96.5	1.00	104.7	0.0	0.0	3.5	0.000	0.000	0.281
19710305	0.261	-9999.000	2.7	-15.0	0.00	0.00	99.4	1.00	104.7	0.0	0.0	3.3	0.000	0.000	0.261
19710306	0.243	-9999.000	1.2	-16.0	0.00	0.00	100.7	1.00	104.7	0.0	0.0	3.0	0.000	0.000	0.243
19710307	0.226	-9999.000	0.0	-14.0	0.00	0.00	100.7	1.00	104.7	0.0	0.0	2.8	0.000	0.000	0.226
19710308	0.209	-9999.000	0.0	-11.0	0.00	0.00	100.7	1.00	104.7	0.0	0.0	2.6	0.000	0.000	0.209
19710309	0.195	-9999.000	0.0	-8.2	0.00	0.00	100.7	1.00	104.7	0.0	0.0	2.4	0.000	0.000	0.195
19710310	0.181	-9999.000	1.5	-4.1	0.00	0.17	102.3	1.00	104.7	0.0	0.0	2.3	0.000	0.000	0.181
19710311	0.168	-9999.000	0.2	-4.0	0.00	0.17	102.5	1.00	104.7	0.0	0.0	2.1	0.000	0.000	0.168
19710312	0.156	-9999.000	0.0	-0.4	0.00	0.64	102.5	1.00	104.7	0.0	0.0	2.0	0.000	0.000	0.156
19710313	0.145	-9999.000	0.0	1.7	0.00	0.93	102.5	1.00	104.7	0.0	0.0	1.8	0.000	0.000	0.145
19710314	0.229	-9999.000	0.4	1.7	0.00	0.94	101.1	1.00	104.8	1.6	0.3	2.8	0.000	0.052	0.177
19710315	0.577	-9999.000	11.0	-0.3	0.00	0.65	109.6	1.00	104.9	3.0	1.5	3.8	0.000	0.325	0.253
19710316	0.644	-9999.000	0.0	-0.9	0.00	0.56	109.7	1.00	104.9	0.0	0.2	4.7	0.000	0.321	0.323
19710317	0.415	-9999.000	0.0	0.6	0.00	0.80	108.8	1.00	104.9	0.9	0.0	5.3	0.000	0.034	0.381
19710318	0.845	-9999.000	0.1	2.1	0.00	1.05	104.4	1.00	105.1	4.3	2.2	6.1	0.000	0.410	0.435
19710319	2.274	-9999.000	5.5	1.7	0.00	1.00	100.5	1.00	105.3	9.1	7.3	6.8	0.000	1.782	0.492
19710320	3.814	-9999.000	3.1	1.7	0.00	1.02	95.8	1.00	105.4	7.7	10.0	7.5	0.000	3.269	0.545
19710321	4.404	-9999.000	1.1	1.5	0.00	1.00	91.7	1.00	105.5	5.2	10.1	8.1	0.000	3.810	0.594
19710322	6.465	-9999.000	7.8	2.6	0.00	1.20	84.5	1.00	105.7	14.8	15.6	8.6	0.703	5.121	0.640
19710323	6.738	-9999.000	0.0	-1.1	0.00	0.55	84.5	1.00	105.7	0.0	10.4	9.2	0.760	5.295	0.682
19710324	4.146	-9999.000	0.0	0.4	0.00	0.82	83.5	1.00	105.7	1.0	7.4	9.7	0.001	3.423	0.722
19710325	5.631	-9999.000	10.0	2.3	0.00	1.19	77.1	1.00	105.8	16.2	15.3	10.1	0.444	4.428	0.759
19710326	6.334	-9999.000	9.1	-0.6	0.00	0.63	86.9	1.00	105.8	0.0	10.2	10.6	0.480	5.062	0.793
19710327	4.021	-9999.000	5.5	-1.7	0.00	0.40	92.8	1.00	105.8	0.0	6.5	11.0	0.000	3.197	0.824
19710328	2.827	-9999.000	0.0	-0.8	0.00	0.57	92.9	1.00	105.8	0.0	3.8	11.3	0.000	1.974	0.854
19710329	1.969	-9999.000	0.0	-1.2	0.00	0.48	92.9	1.00	105.8	0.0	1.8	11.7	0.000	1.088	0.881
19710330	1.361	-9999.000	0.0	0.2	0.00	0.77	92.8	1.00	105.8	0.1	0.5	12.0	0.000	0.455	0.906
19710331	1.674	-9999.000	0.0	2.6	0.00	1.31	87.1	1.00	105.9	5.6	3.5	12.3	0.000	0.744	0.930
19710401	3.165	-9999.000	0.0	3.3	0.00	1.48	78.0	1.00	105.9	9.1	8.3	12.6	0.000	2.213	0.951
19710402	4.455	-9999.000	0.0	2.5	0.00	1.30	71.0	1.00	105.9	6.9	10.1	12.8	0.000	3.483	0.972
19710403	5.663	-9999.000	0.0	5.1	0.00	1.93	59.7	0.71	105.9	11.3	14.6	13.0	0.002	4.670	0.991
19710404	8.158	-9999.000	0.0	6.1	0.64	2.19	48.2	0.71	105.3	11.5	16.0	13.3	0.962	6.189	1.008
19710405	11.156	-9999.000	4.8	4.9	0.56	1.91	39.0	0.71	104.9	13.9	17.2	13.5	2.764	7.368	1.024
19710406	12.011	-9999.000	0.0	5.9	0.64	2.18	27.8	0.71	104.2	11.2	16.7	13.7	3.272	7.700	1.039
19710407	12.344	-9999.000	0.0	7.5	0.77	2.61	13.5	0.71	103.5	14.3	17.5	13.8	3.465	7.826	1.053
