Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2
19710101	0.814	-9999.000	0.0	-16.0	0.00	0.00	222.9	0.93	125.6	0.0	0.0	26.0	0.000	0.000	0.814
19710102	0.790	-9999.000	0.0	-15.0	0.00	0.00	222.9	0.93	125.6	0.0	0.0	25.2	0.000	0.000	0.790
19710103	0.766	-9999.000	0.0	-15.0	0.00	0.00	222.9	0.93	125.6	0.0	0.0	24.5	0.000	0.000	0.766
19710104	0.744	-9999.000	0.0	-14.0	0.00	0.00	222.9	0.93	125.6	0.0	0.0	23.7	0.000	0.000	0.744
19710105	0.721	-9999.000	0.0	-12.0	0.00	0.00	222.9	0.93	125.6	0.0	0.0	23.0	0.000	0.000	0.721
19710106	0.700	-9999.000	0.0	-7.6	0.00	0.02	222.9	0.93	125.6	0.0	0.0	22.3	0.000	0.000	0.700
19710107	0.679	-9999.000	0.0	-4.4	0.00	0.05	222.9	0.93	125.6	0.0	0.0	21.7	0.000	0.000	0.679
19710108	0.659	-9999.000	0.0	-0.6	0.00	0.08	222.8	0.93	125.7	0.0	0.0	21.1	0.000	0.000	0.659
19710109	0.646	-9999.000	0.0	1.6	0.00	0.10	221.9	0.93	126.1	0.5	0.0	20.9	0.000	0.000	0.646
19710110	0.638	-9999.000	0.0	-0.8	0.00	0.08	221.5	0.90	126.2	0.2	0.0	20.5	0.000	0.000	0.638
19710111	0.623	-9999.000	0.0	-2.0	0.00	0.07	221.5	0.90	126.2	0.0	0.0	19.9	0.000	0.000	0.623
19710112	0.605	-9999.000	0.0	-3.1	0.00	0.06	221.5	0.90	126.2	0.0	0.0	19.3	0.000	0.000	0.605
19710113	0.587	-9999.000	0.0	-2.7	0.00	0.06	221.5	0.90	126.2	0.0	0.0	18.7	0.000	0.000	0.587
19710114	0.570	-9999.000	7.4	-3.1	0.00	0.06	229.6	0.93	126.2	0.0	0.0	18.2	0.000	0.000	0.570
19710115	0.553	-9999.000	0.0	-5.1	0.00	0.04	229.6	0.93	126.2	0.0	0.0	17.6	0.000	0.000	0.553
19710116	0.536	-9999.000	0.0	-6.0	0.00	0.03	229.6	0.93	126.2	0.0	0.0	17.1	0.000	0.000	0.536
19710117	0.520	-9999.000	0.0	-5.8	0.00	0.04	229.6	0.93	126.2	0.0	0.0	16.6	0.000	0.000	0.520
19710118	0.505	-9999.000	0.2	-5.7	0.00	0.04	229.7	0.93	126.2	0.0	0.0	16.1	0.000	0.000	0.505
19710119	0.490	-9999.000	3.4	-3.9	0.00	0.05	233.4	0.93	126.2	0.0	0.0	15.6	0.000	0.000	0.490
19710120	0.475	-9999.000	4.7	-3.3	0.00	0.05	238.6	0.93	126.2	0.0	0.0	15.2	0.000	0.000	0.475
19710121	0.461	-9999.000	39.3	-3.2	0.00	0.05	281.1	0.93	126.2	0.0	0.0	14.7	0.000	0.000	0.461
19710122	0.447	-9999.000	0.0	-3.7	0.00	0.05	281.1	0.93	126.2	0.0	0.0	14.3	0.000	0.000	0.447
19710123	0.434	-9999.000	11.1	-6.3	0.00	0.03	293.1	0.93	126.2	0.0	0.0	13.9	0.000	0.000	0.434
19710124	0.421	-9999.000	0.0	-3.2	0.00	0.05	293.1	0.93	126.2	0.0	0.0	13.4	0.000	0.000	0.421
19710125	0.408	-9999.000	2.3	-4.9	0.00	0.04	295.6	0.93	126.2	0.0	0.0	13.0	0.000	0.000	0.408
19710126	0.396	-9999.000	5.1	-5.3	0.00	0.04	301.2	0.93	126.2	0.0	0.0	12.6	0.000	0.000	0.396
19710127	0.384	-9999.000	1.6	-3.1	0.00	0.06	302.9	0.93	126.2	0.0	0.0	12.3	0.000	0.000	0.384
19710128	0.373	-9999.000	0.0	-4.6	0.00	0.04	302.9	0.93	126.2	0.0	0.0	11.9	0.000	0.000	0.373
19710129	0.362	-9999.000	2.0	-5.6	0.00	0.04	305.1	0.93	126.2	0.0	0.0	11.6	0.000	0.000	0.362
19710130	0.351	-9999.000	17.1	-3.3	0.00	0.05	323.7	0.93	126.2	0.0	0.0	11.2	0.000	0.000	0.351
19710131	0.342	-9999.000	34.2	-2.1	0.00	0.06	360.5	0.93	126.4	0.1	0.0	11.0	0.000	0.000	0.342
19710201	0.333	-9999.000	2.7	-2.7	0.00	0.06	363.5	0.93	126.4	0.0	0.0	10.6	0.000	0.000	0.333
19710202	0.323	-9999.000	0.0	-8.2	0.00	0.02	363.5	0.93	126.4	0.0	0.0	10.3	0.000	0.000	0.323
19710203	0.314	-9999.000	0.0	-5.9	0.00	0.04	363.5	0.93	126.4	0.0	0.0	10.0	0.000	0.000	0.314
19710204	0.304	-9999.000	0.0	-4.6	0.00	0.05	363.5	0.93	126.4	0.0	0.0	9.7	0.000	0.000	0.304
19710205	0.295	-9999.000	0.0	-1.8	0.00	0.07	363.5	0.93	126.4	0.0	0.0	9.4	0.000	0.000	0.295
19710206	0.289	-9999.000	0.0	2.0	0.00	0.09	363.0	0.93	126.6	0.2	0.0	9.4	0.000	0.000	0.289
19710207	0.287	-9999.000	0.0	0.1	0.00	0.08	362.7	0.90	126.8	0.2	0.0	9.3	0.000	0.000	0.287
19710208	0.282	-9999.000	0.0	-4.2	0.00	0.05	362.7	0.90	126.8	0.0	0.0	9.0	0.000	0.000	0.282
19710209	0.273	-9999.000	0.0	-2.1	0.00	0.06	362.7	0.90	126.8	0.0	0.0	8.7	0.000	0.000	0.273
19710210	0.266	-9999.000	0.0	-1.3	0.00	0.07	362.5	0.90	126.8	0.1	0.0	8.5	0.000	0.000	0.266
19710211	0.260	-9999.000	0.0	-4.2	0.00	0.05	362.5	0.90	126.8	0.0	0.0	8.3	0.000	0.000	0.260
19710212	0.252	-9999.000	0.0	-2.5	0.00	0.06	362.5	0.90	126.8	0.0	0.0	8.0	0.000	0.000	0.252
19710213	0.244	-9999.000	0.0	-2.7	0.00	0.06	362.5	0.90	126.8	0.0	0.0	7.8	0.000	0.000	0.244
19710214	0.237	-9999.000	0.0	-4.2	0.00	0.05	362.5	0.93	126.8	0.0	0.0	7.6	0.000	0.000	0.237
19710215	0.230	-9999.000	21.1	-5.5	0.00	0.04	385.5	0.93	126.8	0.0	0.0	7.3	0.000	0.000	0.230
19710216	0.223	-9999.000	21.1	-6.8	0.00	0.04	408.4	0.93	126.8	0.0	0.0	7.1	0.000	0.000	0.223
19710217	0.217	-9999.000	0.0	-7.5	0.00	0.03	408.4	0.93	126.8	0.0	0.0	6.9	0.000	0.000	0.217
19710218	0.210	-9999.000	0.0	-6.0	0.00	0.06	408.4	0.93	126.8	0.0	0.0	6.7	0.000	0.000	0.210
19710219	0.204	-9999.000	0.0	-5.5	0.00	0.07	408.4	0.93	126.8	0.0	0.0	6.5	0.000	0.000	0.204
19710220	0.198	-9999.000	0.0	-6.9	0.00	0.06	408.4	0.93	126.8	0.0	0.0	6.3	0.000	0.000	0.198
19710221	0.192	-9999.000	0.0	-5.9	0.00	0.08	408.4	0.93	126.8	0.0	0.0	6.1	0.000	0.000	0.192
19710222	0.186	-9999.000	0.0	-5.8	0.00	0.09	408.5	0.93	126.8	0.0	0.0	5.9	0.000	0.000	0.186
19710223	0.181	-9999.000	0.0	-8.4	0.00	0.04	408.5	0.93	126.8	0.0	0.0	5.8	0.000	0.000	0.181
19710224	0.175	-9999.000	0.0	-8.3	0.00	0.04	408.5	0.93	126.8	0.0	0.0	5.6	0.000	0.000	0.175
19710225	0.170	-9999.000	0.0	-3.7	0.00	0.15	408.5	0.93	126.8	0.0	0.0	5.4	0.000	0.000	0.170
19710226	0.165	-9999.000	0.0	-6.4	0.00	0.09	408.5	0.93	126.8	0.0	0.0	5.3	0.000	0.000	0.165
19710227	0.160	-9999.000	0.0	-8.3	0.00	0.05	408.5	0.93	126.8	0.0	0.0	5.1	0.000	0.000	0.160
19710228	0.155	-9999.000	0.0	-12.0	0.00	0.00	408.5	0.93	126.8	0.0	0.0	5.0	0.000	0.000	0.155
19710301	0.151	-9999.000	0.0	-14.0	0.00	0.00	408.5	0.93	126.8	0.0	0.0	4.8	0.000	0.000	0.151
19710302	0.146	-9999.000	0.0	-12.0	0.00	0.00	408.5	0.93	126.8	0.0	0.0	4.7	0.000	0.000	0.146
19710303	0.142	-9999.000	0.0	-11.0	0.00	0.00	408.6	0.93	126.8	0.0	0.0	4.5	0.000	0.000	0.142
